"agency","count_all_article_instances","count_unique_articles","count_unique_biodata_resources","associated_PMIDs","associated_biodata_resources"
"Ministry of Science and Technology of the People's Republic of China",147,2,2,"31813095, 34344425","CMVdb, SorGSD"
"Government of Jiangsu Province",1,1,1,"31813095","CMVdb"
"Science and Technology Department of Henan Province",1,1,1,"31813095","CMVdb"
"State Key Lab of Microbial Metabolism and Joint Research Funds for Medical and Engineering and Scientific Research at Shanghai Jiao Tong University",1,1,1,"31813095","CMVdb"
"Jiangnan University",1,1,1,"31813095","CMVdb"
"National Natural Science Foundation of China (CN)",3,2,2,"31901979, 28187703","CNAdbCC, iHMS"
"Basic and Applied Basic Research Fund",2,1,1,"33010163","cncRNAdb"
"Center for Biotechnology, National Taiwan University, Taiwan",1,1,1,"34259866","CNVIntegrate"
"Center of Genomics and Precision Medicine, Ministry of Science and Technology, Taiwan",1,1,1,"34259866","CNVIntegrate"
"Blood Cancer UK",1,1,1,"25270877","CODEX"
"CONICET",1,1,1,"34954795","CoDNaS-RNA"
"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación",1,1,1,"34954795","CoDNaS-RNA"
"Universidad Nacional de Quilmes",3,3,3,"34954795, 33237329, 33305318","CoDNaS-RNA, MobiDB, PED"
"U.S. Food and Drug Administration",2,2,2,"31029701, 31982380","Codon and Codon-Pair Usage Tables, TissueCoCoPUTs"
"Open Project of Key laboratory of Loquat Germplasm Innovation and Utilization, Putian University, Fujian Province",1,1,1,"32436316","CoFly"
"the Major Science and Technology Planning Project of Guangdong Province",1,1,1,"34964846","COGVIC"
"the Research Initiative Fund of Southern Hospital 2018",1,1,1,"34964846","COGVIC"
"the Science and Technology Program of Guangzhou",1,1,1,"34964846","COGVIC"
"NIBIB NIH HHS",11,5,5,"22275896, 26019122, 33174603, 31868683, 27899595","COINS, DX, Datanator, QPN, PANTHER"
"Ohio State University",1,1,1,"32073269","COLMAR Lipids"
"Color Genomics",1,1,1,"33181822","Color Data"
"Guangdong Province",4,2,2,"33313674, 33175131","ColorCells, deepBase"
"Guangdong Province Key Laboratory of Computational Science",2,2,2,"33313674, 33175131","ColorCells, deepBase"
"Pearl River S and T Nova Program of Guangzhou",1,1,1,"33313674","ColorCells"
"Youth science and technology",1,1,1,"33313674","ColorCells"
"Guangdong Province Computational Science Innovative Research Team",2,2,2,"33313674, 33175131","ColorCells, deepBase"
"Guangzhou city",4,2,2,"33313674, 33175131","ColorCells, deepBase"
"National Institute of Diabetes and Digestive and Kidney Diseases",6,6,6,"25333826, 33973408, 34859531, 33206959, 33290552, 33237286","Complex Mixture Analysis by NMR, hu.MAP, gnomAD, IntAct, GOC, UniProtKB"
"NIDDK NIH HHS",60,35,34,"25333826, 26393351, 27766955, 33079988, 33787872, 22748121, 23794736, 24101916, 30951672, 27504778, 28212602, 30418591, 33125055, 33973408, 34859531, 30397019, 21880229, 24203705, 26322134, 33174596, 21890895, 23196988, 24839966, 26072489, 24227675, 24288368, 30674925, 22786849, 31672983, 22067444, 23180778, 24350770, 32728249, 25388151, 24910945","Complex Mixture Analysis by NMR, dkNET, e-GRASP, DKK, Drugmonizome, Genes2FANs, ESCAPE, FunGene, exRNA Atlas, GNPS, HAPPI, HumanNet, HbVar, hu.MAP, gnomAD, iProteinDB, Monogenic Diabetes Registry, MetaRef, Metabolic In silico Network Expansions, MitoCarta, OPM, NURBS, PCD, PAGER, PhosphoNetworks, RDP, Smooth Muscle Transcriptome Browser, Transcriptomine, SPP, zfishbook, ZInC, Model Organism Protein Expression Database, ENCODE, EVpedia"
"Major Scientific Research Platform Construction Project of Shandong Province",1,1,1,"32754758","ConoMode"
"Marine S&amp;T Fund of Shandong Province for Pilot National Laboratory for Marine Science and Technology",2,2,2,"32754758, 32621601","ConoMode, SAGER"
"National Science and Technology Major Project for Significant New Drugs Development",1,1,1,"32754758","ConoMode"
"National Laboratory Director Fund",1,1,1,"32754758","ConoMode"
"NIDCR NIH HHS",24,14,12,"21544197, 27504778, 33119754, 34032471, 29126312, 31588509, 31754718, 22759918, 22064862, 30417254, 31504780, 24185697, 25428374, 27738138","CORE, GNPS, HeRA, HSP, Met-DB, MutEx, MiST, SSKB, CGD, iSyTE, miRDB, UCSC Genome Browser"
"GREEN-IT - Bioresources for Sustainability",1,1,1,"33382885","CorkOakDB"
"BioData.pt - Infraestrutura Portuguesa de Dados Biológicos",1,1,1,"33382885","CorkOakDB"
"HHS | NIH | U.S. National Library of Medicine",1,1,1,"34016708","CoronaCentral"
"NIA NIH HHS",35,19,16,"30357367, 24678734, 30951672, 32777102, 33174596, 33514395, 25172923, 29370821, 24194593, 29733404, 24203712, 27188311, 23226127, 22102583, 30668832, 25388151, 26311606, 26553799, 31696236","CORUM, EPSLiM, exRNA Atlas, MSK-KP, MitoCarta, MPM, Naked Mole Rat Genome Resource, PhenoDis, SelenoDB, SPAR, TISdb, Structure Surfer, UCLA Multimodal Connectivity Database, MPD, DASHR, EVpedia"
"Ministry of Agriculture of the People&apos;s Republic of China",2,1,1,"28595571","CottonFGD"
"National Science &amp; Technology Major Project of China",1,1,1,"33068433","CovalentInDB"
"Zhejiang Provincial Natural Science Foundation",3,3,3,"33068433, 33264402, 33010159","CovalentInDB, HERB, PROTAC-DB"
"Primary Research and Development Program of Zhejiang Province",1,1,1,"33068433","CovalentInDB"
"National Natural Science Foundation of HeBei Province",1,1,1,"33009914","CoVdb"
"EC | EU Framework Programme for Research and Innovation H2020 | H2020 Priority Societal Challenges | H2020 Health (H2020 Societal Challenges - Health, Demographic Change and Well-being)",1,1,1,"32665542","CoVex"
"Bundesministerium für Bildung und Forschung",6,5,5,"34931882, 32862462, 34699529, 30418610, 30476243","CoxBase, ExED, GH19ED, eggNOG, STRING"
"Bundesministerium für Bildung und Forschung (BMBF)",1,1,1,"34931882","CoxBase"
"Defense Advanced Research Projects Agency",1,1,1,"31725864","CRAFT"
"Chief Scientist Office",2,1,1,"23019048","CRCgene"
"national institute of child health and human development",2,2,2,"34482425, 34698891","CrePortal, MGI"
"NIH HHS",47,31,26,"34482425, 26503254, 29485625, 27664130, 24217912, 27841751, 27899569, 29284660, 30841849, 31679514, 23674503, 26251998, 28862395, 24203712, 21276248, 23175606, 25348409, 25392405, 31283070, 27924039, 30476227, 34314492, 30407596, 26919060, 31722416, 23203872, 22067456, 24285300, 25428363, 25723102, 27980099","CrePortal, Digital Development, Datasets2Tools, ENVO, HPO, IRRMC, MEGARes, ModERN, mGAP, MaveDB, PhosphoGRID, PhenomeCentral, PMS_DN, TISdb, ZFNGenome, WholeCellKB, Human Disease Ontology, non-human primate reference transcriptome resource, VIPdb, FlyRNAi, BioGRID, GlyTouCan, Cancer3D, MSeqDR, MGD, FANTOM5"
"nih office of the director",1,1,1,"34482425","CrePortal"
"Center of Genetic Medicine Research",1,1,1,"33010154","CRISP-view"
"Pharmaceutical Research and Manufacturers of America Foundation",1,1,1,"33010154","CRISP-view"
"W.T. Gill Fellowship",1,1,1,"33010154","CRISP-view"
"Developmental Biology of Freshwater Fish",1,1,1,"30285246","CRISPRlnc"
"Developmental Biology of Hunan Province",1,1,1,"30285246","CRISPRlnc"
"Scientific Research Fund of Hunan Provincial Education Department",1,1,1,"30285246","CRISPRlnc"
"Australian Research Council",14,7,7,"30548723, 32928113, 31667690, 31161204, 26434508, 30329070, 33084874","CropSNPdb, CrustyBase, Microndata, PRISMOID, ExoCarta, RaftProt, OGEE"
"Sichuan and Guangxi Provinces",2,2,2,"34927675, 34164644","CRPMKB, HFBD"
"Direct Grant for Research from The Chinese University of Hong Kong",1,1,1,"29178828","CrusTF"
"Collaborative Research Fund of the Research Grants Council",1,1,1,"29178828","CrusTF"
"Data Science and Informatics Core for Cancer Research",2,1,1,"33211888","CSEA-DB"
"Cancer Prevention and Research Institute of Texas",15,11,11,"33211888, 30418591, 32576192, 33137204, 32810235, 29092939, 31432762, 31672983, 31598702, 31680168, 33021634","CSEA-DB, HumanNet, GPSno, KinaseMD, PCAT, TCPA, tRic, SPP, VISDB, TSEA-DB, NDB"
"Ministry of Science and Technology, Taiwan",20,11,11,"28704505, 33035337, 34976312, 34266386, 34025934, 30587128, 28194231, 30846808, 27392072, 30048518, 34384382","CSmiRTar, DockCoV2, LCMD, MitoTox, MycoTRAP-DB, PSRN, SkinSensDB, TACCO, YCRD, YARG, OrchidBase"
"Regional Government of Madrid",2,1,1,"32990755","CSVS"
"Ministry of Economy and Competitiveness",6,1,1,"32990755","CSVS"
"Technology and Education",1,1,1,"32294193","ctcRbase"
"Invigorating Health Care through Science",1,1,1,"32294193","ctcRbase"
"Jiangsu Provincial Key Medical Discipline",1,1,1,"32294193","ctcRbase"
"Economic and Social Research Council",1,1,1,"23529715","Database of Instruments for Resource Use Measurement"
"Department of Science and Technology (DST)",1,1,1,"24548788","DR-GAS"
"European Union’s Seventh Framework Programme",1,1,1,"25484339","DISEASES"
"NIDA NIH HHS",30,19,17,"26019122, 30951672, 25166490, 22276777, 21821666, 21890895, 25102069, 31259547, 31228159, 31868683, 27643925, 31171447, 22067444, 31598702, 22102583, 26434508, 29136208, 27587585, 31696236","DX, exRNA Atlas, isoMETLIN, miRdSNP, NeuroPedia, OPM, Panorama, PerMM, PhenoGen, QPN, StemCellCKB, SynGO, zfishbook, VISDB, MPD, ExoCarta, REDIportal"
"Children&apos;s Tumor Foundation",1,1,1,"26144527","dasHPPboard"
"Ministerio de Ciencia e Innovación",3,2,2,"26144527, 33252190","dasHPPboard, GRINdb"
"Comunidad de Madrid",2,2,2,"26144527, 31740968","dasHPPboard, SEVA-DB"
"Chinese Human Proteome Projects",2,1,1,"26940364","dbPHCC"
"Key Infectious Disease Project",1,1,1,"26940364","dbPHCC"
"National Hi-Tech Program",2,2,2,"26940364, 30055873","dbPHCC, PhoPepMass"
"the National “973” Key Basic Research Development Program",1,1,1,"27209279","DNetDB"
"the Program of International S&amp;T Cooperation",1,1,1,"27209279","DNetDB"
"the Fundamental Research Program of Shanghai Municipal Commission of Science and Technology",1,1,1,"27209279","DNetDB"
"Key Laboratory of Liaoning Educational Council",1,1,1,"27553277","Cysteinome"
"Central University",1,1,1,"27553277","Cysteinome"
"Howard Hughes Medical Institute",29,26,21,"27907889, 33995899, 27113915, 24002112, 24297255, 33174596, 33780471, 22833564, 24271386, 33653882, 23193263, 28365761, 26138588, 26590259, 26705106, 26612867, 26673716, 27924039, 33221922, 22067452, 25428374, 23203985, 24194605, 24288371, 23125362, 23193274","denovo-db, DRscDB, Hipposeq, M2SG, iPfam, MitoCarta, MCPdb, NESdb, OnTheFly, Mycobacterial Systems Resource, PrePPI, PhagesDB, SmedGD, UCSC Genome Browser, WheatExp, Dfam, Pfam, FlyRNAi, WormBase, Rfam, ENCODE"
"Japan Society for the Promotion of Science (JSPS)",2,2,2,"28234924, 30046160","DNApod, KampoDB"
"Transdisciplinary Research Integration Center Project of the Research Organization of Information and Systems",1,1,1,"28234924","DNApod"
"Japanese Ministry of Agriculture, Forestry and Fisheries",1,1,1,"28234924","DNApod"
"Israel Ministry of Science and Technology",1,1,1,"28299908","DrugAge"
"European Union&apos;s Horizon 2020 research and innovation programme",2,2,2,"28502574, 31612960","DINeR, PhaSePro"
"the National Key Research and Development Program",1,1,1,"28533016","DRodVir"
"the CAMS Innovation Fund for Medical Sciences",1,1,1,"28533016","DRodVir"
"National Major Science and Technology Project",1,1,1,"28533016","DRodVir"
"Program for Changjiang Scholars and Innovative Research Team in University",1,1,1,"28533016","DRodVir"
"National health and family planning commission of the people&apos;s republic of china",1,1,1,"28562632","DrugSig"
"Jiangxi Provincial Natural Science Foundation",1,1,1,"29145823","dbMDEGA"
"National Nature Science Foundation of China",5,2,2,"29145823, 30380072","dbMDEGA, LncRNA2Target"
"King Abdulaziz City for Science and Technology",1,1,1,"29209336","DRDB"
"Hungarian Academy of Sciences",10,6,6,"29385418, 31713636, 31686102, 29036655, 31612960, 31680160","DIBS, DisProt, FoldamerDB, MFIB, PhaSePro, ELM"
"European Molecular Biology Organization",2,2,2,"29385418, 33186585","DIBS, PolarProtDb"
"OTKA",2,1,1,"29385418","DIBS"
"US-Israel Binational Agricultural Research and Development",3,1,1,"30321383","CuGenDB"
"National Institute of Food and Agriculture",7,5,5,"30321383, 26705106, 30357347, 31647100, 31680153","CuGenDB, WheatExp, GDR, BGD, Plant Reactome"
"Anhui Provincial Outstanding Young Talent Support Plan",1,1,1,"30379998","dbCPM"
"oung Wanjiang Scholar Program of Anhui Province, China",1,1,1,"30379998","dbCPM"
"Chinese University of Hong Kong",12,3,3,"30380085, 30476229, 30418626","dbAMP, ENPD, dbPTM"
"Anhui Province Funds for Excellent Youth Scholars in Colleges",1,1,1,"30665056","dbHDPLS"
"Anhui Scientific Research Foundation for Returned Scholars",1,1,1,"30665056","dbHDPLS"
"European Union Collaborative Research",1,1,1,"30942868","DEE2"
"University of Toronto McLaughlin Center",1,1,1,"31016417","DNAmod"
"Ontario Institute for Cancer Research",2,2,2,"31016417, 32442307","DNAmod, SYNERGxDB"
"Princess Margaret Cancer Foundation",1,1,1,"31016417","DNAmod"
"University of Toronto",1,1,1,"31016417","DNAmod"
"Ontario Ministry of Training, Colleges and Universities",1,1,1,"31016417","DNAmod"
"Canadian Cancer Society",1,1,1,"31016417","DNAmod"
"Sciences and Engineering Research Council of Canada",1,1,1,"31016417","DNAmod"
"Ontario Ministry of Research, Innovation and Science",1,1,1,"31016417","DNAmod"
"European Commission",7,4,4,"31066443, 33125055, 30020414, 32248568","DrugComb, HbVar, SKEMPI, FINDbase"
"China Scholarship Council",6,6,6,"31066443, 28549078, 31637139, 27643925, 33035346, 33051671","DrugComb, HEROD, ncRNA2MetS, StemCellCKB, tRFtarget, StreptomeDB"
"Academy of Finland Research Fellow",1,1,1,"31066443","DrugComb"
"Finland&apos;s EDUFI Fellowship",1,1,1,"31066443","DrugComb"
"Scientific and Technological Research Council of Turkey &amp;#x2013; TUBITAK",1,1,1,"31581093","DORMAN"
"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja",1,1,1,"31593887","Distances of Amino Acids"
"111 Project",1,1,1,"31598709","DNMIVD"
"Beihang University &amp; Capital Medical University Advanced Innovation Center for Big Data-Based Precision Medicine Plan",1,1,1,"31598709","DNMIVD"
"China Human Proteome Project",2,1,1,"31598709","DNMIVD"
"Rose Hills Foundation",2,2,2,"31612957, 31665425","DNAproDB, TFBSshape"
"Human Frontier Science Program",2,2,2,"31612957, 31665425","DNAproDB, TFBSshape"
"Natural Science Foundation of China",35,13,13,"31691822, 31598693, 32008039, 30380109, 34907423, 28529077, 30244175, 32621601, 29157087, 30810209, 32761141, 29351734, 33094321","DrLLPS, EuRBPDB, EPSD, iEKPD, iCAV, PLMD, PTMD, SAGER, THANATOS, Tetrahymena Comparative Genomics Database, SPDB, EOGD, VPTMdb"
"Changjiang Scholars Program of China",2,2,2,"31691822, 32008039","DrLLPS, EPSD"
"Research Foundation Flanders",3,3,3,"31713636, 31584092, 33237329","DisProt, PDBe-KB, MobiDB"
"Elixir-GR",1,1,1,"31713636","DisProt"
"ICREA",1,1,1,"31713636","DisProt"
"Mexican National Council of Science and Technology",1,1,1,"31713636","DisProt"
"Carlsberg Distinguished Fellowship",1,1,1,"31713636","DisProt"
"Italian Ministry of Health Young Investigator Grant",1,1,1,"31713636","DisProt"
"National Research, Development and Innovation Office",2,2,2,"31713636, 33119751","DisProt, MemMoRF"
"Vetenskapsrådet",4,4,4,"31713636, 28182744, 32016318, 33539890","DisProt, OMDB, VariBench, FunCoup"
"Danmarks Grundforskningsfond",1,1,1,"31713636","DisProt"
"Hungarian National Research, Development, and Innovation Office",4,2,2,"31713636, 31612960","DisProt, PhaSePro"
"Ministry of Education, Science and Technological Development of the Republic of Serbia",1,1,1,"31713636","DisProt"
"Ministerio de Economía y Competitividad",3,3,3,"31713636, 30335169, 28943872","DisProt, PopHumanScan, MAHMI"
"Norges Forskningsråd",3,3,3,"32632099, 34583740, 28651544","EBRAINS, FPADMET, SalmoBase"
"Norges Forskningsråd (Research Council of Norway)",1,1,1,"32632099","EBRAINS"
"EC | Horizon 2020 Framework Programme (EU Framework Programme for Research and Innovation H2020)",1,1,1,"32632099","EBRAINS"
"EC | Horizon 2020 Framework Programme",2,2,2,"32632099, 34493866","EBRAINS, eQTL"
"VILLUM Young Investor",1,1,1,"32976589","DIGGER"
"UKIERI",1,1,1,"33007622","DINAX"
"Frederick National Laboratory for Cancer Research",1,1,1,"33051688","dbGuide"
"National Science Centre, Poland",4,2,2,"33053178, 33367605","DNAmoreDB, Virxicon"
"National Science &amp; Technology",1,1,1,"33104791","DrugSpaceX"
"Robert J. Mattauch Endowment",1,1,1,"33119734","DescribePROT"
"Icahn Institute of Data Science and Genomic Technology",1,1,1,"33174603","Datanator"
"Grants-in-Aid for Scientific Research",1,1,1,"33196844","dbCNS"
"CSIR-Institute of Minerals and Materials Technology (CSIR-IMMT), Bhubaneswar",1,1,1,"33276297","DBCOVP"
"School of Biotechnology, Kalinga Institute of Industrial Technology",1,1,1,"33276297","DBCOVP"
"Deemed to be University, Bhubaneswar",1,1,1,"33276297","DBCOVP"
"Natural Science Foundation of Jilin Province",1,1,1,"33320930","CyanoPATH"
"Research Grants Council, University Grants Committee",3,1,1,"33382035","DIPPER"
"Council of Scientific and Industrial Research, India",1,1,1,"34015403","Ebolabase"
"NSFC",2,2,2,"34256256, 34846641","CytomegaloVirusDb, HODD"
"Natural Science Young Foundation of Anhui",1,1,1,"34314366","dbMCS"
"Natural Science Young Foundation of Anhui Agricultural University",1,1,1,"34314366","dbMCS"
"Introduction and Stabilization of Talent Project of Anhui Agricultural University",1,1,1,"34314366","dbMCS"
"National Key Research and Development",1,1,1,"34314366","dbMCS"
"Graduate Innovation Fund of Anhui Agricultural University",1,1,1,"34314366","dbMCS"
"the research project of the health and family planning commission of heilongjiang province",1,1,1,"34774049","DREAM"
